Time	Voltage
72.5000	0.00034595
72.7500	0.00034594
73.0000	0.00034586
73.2500	0.00034588
73.5000	0.00034598
73.7500	0.00034595
74.0000	0.00034598
74.2500	0.00034583
74.5000	0.00034592
74.7500	0.00034598
75.0000	0.00034590
75.2500	0.00034595
75.5000	0.00034590
75.7500	0.00034583
76.0000	0.00034587
76.2500	0.00034589
76.5000	0.00034572
76.7500	0.00034586
77.0000	0.00034577
77.2500	0.00034589
77.5000	0.00034584
77.7500	0.00034579
78.0000	0.00034577
78.2500	0.00034581
78.5000	0.00034579
78.7500	0.00034574
79.0000	0.00034569
79.2500	0.00034570
79.5000	0.00034578
79.7500	0.00034574
80.0000	0.00034577
80.2500	0.00034560
80.5000	0.00034584
80.7500	0.00034566
81.0000	0.00034576
81.2500	0.00034574
81.5000	0.00034570
81.7500	0.00034560
82.0000	0.00034574
82.2500	0.00034569
82.5000	0.00034576
82.7500	0.00034567
83.0000	0.00034567
83.2500	0.00034568
83.5000	0.00034562
83.7500	0.00034566
84.0000	0.00034567
84.2500	0.00034566
84.5000	0.00034557
84.7500	0.00034565
85.0000	0.00034571
85.2500	0.00034553
85.5000	0.00034559
85.7500	0.00034556
86.0000	0.00034568
86.2500	0.00034555
86.5000	0.00034560
86.7500	0.00034559
87.0000	0.00034552
87.2500	0.00034549
87.5000	0.00034554
87.7500	0.00034553
88.0000	0.00034558
88.2500	0.00034548
88.5000	0.00034548
88.7500	0.00034548
89.0000	0.00034543
89.2500	0.00034550
89.5000	0.00034549
89.7500	0.00034551
90.0000	0.00034538
90.2500	0.00034535
90.5000	0.00034551
90.7500	0.00034547
91.0000	0.00034549
91.2500	0.00034543
91.5000	0.00034539
91.7500	0.00034548
92.0000	0.00034540
92.2500	0.00034542
92.5000	0.00034545
92.7500	0.00034543
93.0000	0.00034541
93.2500	0.00034543
93.5000	0.00034538
93.7500	0.00034541
94.0000	0.00034527
94.2500	0.00034541
94.5000	0.00034540
94.7500	0.00034541
95.0000	0.00034539
95.2500	0.00034535
95.5000	0.00034536
95.7500	0.00034532
96.0000	0.00034535
96.2500	0.00034530
96.5000	0.00034529
96.7500	0.00034526
97.0000	0.00034526
97.2500	0.00034525
97.5000	0.00034520
97.7500	0.00034529
98.0000	0.00034522
98.2500	0.00034519
98.5000	0.00034515
98.7500	0.00034525
99.0000	0.00034525
99.2500	0.00034515
99.5000	0.00034524
99.7500	0.00034524
100.0000	0.00034522
100.2500	0.00034522
100.5000	0.00034519
100.7500	0.00034518
101.0000	0.00034508
101.2500	0.00034517
101.5000	0.00034510
101.7500	0.00034511
102.0000	0.00034512
102.2500	0.00034509
102.5000	0.00034510
102.7500	0.00034504
103.0000	0.00034509
103.2500	0.00034514
103.5000	0.00034495
103.7500	0.00034507
104.0000	0.00034506
104.2500	0.00034512
104.5000	0.00034511
104.7500	0.00034503
105.0000	0.00034498
105.2500	0.00034508
105.5000	0.00034498
105.7500	0.00034501
106.0000	0.00034505
106.2500	0.00034503
106.5000	0.00034501
106.7500	0.00034503
107.0000	0.00034497
107.2500	0.00034500
107.5000	0.00034517
107.7500	0.00034492
108.0000	0.00034497
108.2500	0.00034495
108.5000	0.00034489
108.7500	0.00034496
109.0000	0.00034501
109.2500	0.00034498
109.5000	0.00034506
109.7500	0.00034484
110.0000	0.00034484
110.2500	0.00034488
110.5000	0.00034486
110.7500	0.00034489
111.0000	0.00034492
111.2500	0.00034491
111.5000	0.00034492
111.7500	0.00034478
112.0000	0.00034479
112.2500	0.00034489
112.5000	0.00034483
112.7500	0.00034481
113.0000	0.00034484
113.2500	0.00034481
113.5000	0.00034478
113.7500	0.00034470
114.0000	0.00034485
114.2500	0.00034482
114.5000	0.00034484
114.7500	0.00034478
115.0000	0.00034469
115.2500	0.00034475
115.5000	0.00034474
115.7500	0.00034479
116.0000	0.00034481
116.2500	0.00034476
116.5000	0.00034475
116.7500	0.00034468
117.0000	0.00034479
117.2500	0.00034466
117.5000	0.00034473
117.7500	0.00034470
118.0000	0.00034472
118.2500	0.00034468
118.5000	0.00034472
118.7500	0.00034461
119.0000	0.00034469
119.2500	0.00034479
119.5000	0.00034467
119.7500	0.00034462
120.0000	0.00034463
120.2500	0.00034475
120.5000	0.00034474
120.7500	0.00034467
121.0000	0.00034466
121.2500	0.00034463
121.5000	0.00034465
121.7500	0.00034466
122.0000	0.00034456
122.2500	0.00034459
122.5000	0.00034469
122.7500	0.00034457
123.0000	0.00034464
123.2500	0.00034456
123.5000	0.00034457
123.7500	0.00034446
124.0000	0.00034452
124.2500	0.00034459
124.5000	0.00034454
124.7500	0.00034455
125.0000	0.00034449
125.2500	0.00034446
125.5000	0.00034454
125.7500	0.00034453
126.0000	0.00034454
126.2500	0.00034443
126.5000	0.00034437
126.7500	0.00034450
127.0000	0.00034447
127.2500	0.00034439
127.5000	0.00034438
127.7500	0.00034444
128.0000	0.00034443
128.2500	0.00034438
128.5000	0.00034451
128.7500	0.00034436
129.0000	0.00034443
129.2500	0.00034444
129.5000	0.00034440
129.7500	0.00034432
130.0000	0.00034450
130.2500	0.00034435
130.5000	0.00034438
130.7500	0.00034432
131.0000	0.00034444
131.2500	0.00034443
131.5000	0.00034440
131.7500	0.00034428
132.0000	0.00034439
132.2500	0.00034428
132.5000	0.00034427
132.7500	0.00034434
133.0000	0.00034432
133.2500	0.00034435
133.5000	0.00034425
133.7500	0.00034424
134.0000	0.00034424
134.2500	0.00034427
134.5000	0.00034435
134.7500	0.00034432
135.0000	0.00034427
135.2500	0.00034421
135.5000	0.00034424
135.7500	0.00034421
136.0000	0.00034417
136.2500	0.00034424
136.5000	0.00034421
136.7500	0.00034404
137.0000	0.00034417
137.2500	0.00034411
137.5000	0.00034425
137.7500	0.00034409
138.0000	0.00034419
138.2500	0.00034418
138.5000	0.00034415
138.7500	0.00034426
139.0000	0.00034416
139.2500	0.00034412
139.5000	0.00034413
139.7500	0.00034423
140.0000	0.00034415
140.2500	0.00034411
140.5000	0.00034416
140.7500	0.00034406
141.0000	0.00034401
141.2500	0.00034412
141.5000	0.00034408
141.7500	0.00034408
142.0000	0.00034408
142.2500	0.00034402
142.5000	0.00034403
142.7500	0.00034404
143.0000	0.00034403
143.2500	0.00034418
143.5000	0.00034404
143.7500	0.00034402
144.0000	0.00034398
144.2500	0.00034414
144.5000	0.00034407
144.7500	0.00034400
145.0000	0.00034403
145.2500	0.00034393
145.5000	0.00034400
145.7500	0.00034397
146.0000	0.00034401
146.2500	0.00034397
146.5000	0.00034397
146.7500	0.00034394
147.0000	0.00034406
147.2500	0.00034401
147.5000	0.00034393
147.7500	0.00034390
148.0000	0.00034395
148.2500	0.00034398
148.5000	0.00034384
148.7500	0.00034399
149.0000	0.00034386
149.2500	0.00034386
149.5000	0.00034386
149.7500	0.00034385
150.0000	0.00034386
150.2500	0.00034383
150.5000	0.00034381
150.7500	0.00034379
151.0000	0.00034387
151.2500	0.00034383
151.5000	0.00034382
151.7500	0.00034381
152.0000	0.00034380
152.2500	0.00034389
152.5000	0.00034374
152.7500	0.00034384
153.0000	0.00034384
153.2500	0.00034380
153.5000	0.00034362
153.7500	0.00034374
154.0000	0.00034368
154.2500	0.00034375
154.5000	0.00034376
154.7500	0.00034373
155.0000	0.00034372
155.2500	0.00034372
155.5000	0.00034366
155.7500	0.00034372
156.0000	0.00034367
156.2500	0.00034370
156.5000	0.00034376
156.7500	0.00034377
157.0000	0.00034358
157.2500	0.00034370
157.5000	0.00034374
157.7500	0.00034371
158.0000	0.00034374
158.2500	0.00034364
158.5000	0.00034376
158.7500	0.00034367
159.0000	0.00034363
159.2500	0.00034362
159.5000	0.00034371
159.7500	0.00034358
160.0000	0.00034368
160.2500	0.00034355
160.5000	0.00034365
160.7500	0.00034368
161.0000	0.00034345
161.2500	0.00034356
161.5000	0.00034346
161.7500	0.00034355
162.0000	0.00034355
162.2500	0.00034352
162.5000	0.00034361
162.7500	0.00034343
163.0000	0.00034361
163.2500	0.00034358
163.5000	0.00034356
163.7500	0.00034350
164.0000	0.00034351
164.2500	0.00034351
164.5000	0.00034355
164.7500	0.00034353
165.0000	0.00034353
165.2500	0.00034353
165.5000	0.00034349
165.7500	0.00034346
166.0000	0.00034351
166.2500	0.00034350
166.5000	0.00034348
166.7500	0.00034344
167.0000	0.00034349
167.2500	0.00034356
167.5000	0.00034340
167.7500	0.00034354
168.0000	0.00034355
168.2500	0.00034339
168.5000	0.00034333
168.7500	0.00034332
169.0000	0.00034340
169.2500	0.00034358
169.5000	0.00034322
169.7500	0.00034339
170.0000	0.00034364
170.2500	0.00034544
170.5000	0.00036517
170.7500	0.00035983
171.0000	0.00035926
171.2500	0.00036102
171.5000	0.00036154
171.7500	0.00035866
172.0000	0.00036296
172.2500	0.00035948
172.5000	0.00035822
172.7500	0.00035818
173.0000	0.00035792
173.2500	0.00035997
173.5000	0.00036005
173.7500	0.00035975
174.0000	0.00036137
174.2500	0.00035793
174.5000	0.00035887
174.7500	0.00036052
175.0000	0.00035796
175.2500	0.00035944
175.5000	0.00035704
175.7500	0.00035822
176.0000	0.00035746
176.2500	0.00036046
176.5000	0.00035720
176.7500	0.00035986
177.0000	0.00036023
177.2500	0.00035798
177.5000	0.00035744
177.7500	0.00035853
178.0000	0.00035605
178.2500	0.00035635
178.5000	0.00036111
178.7500	0.00035862
179.0000	0.00035949
179.2500	0.00035984
179.5000	0.00035945
179.7500	0.00035668
180.0000	0.00035751
180.2500	0.00035977
180.5000	0.00035588
180.7500	0.00035629
181.0000	0.00036102
181.2500	0.00035795
181.5000	0.00035860
181.7500	0.00035813
182.0000	0.00035825
182.2500	0.00035479
182.5000	0.00035970
182.7500	0.00035968
183.0000	0.00035854
183.2500	0.00035646
183.5000	0.00035849
183.7500	0.00035643
184.0000	0.00035701
184.2500	0.00035856
184.5000	0.00035840
184.7500	0.00035615
185.0000	0.00035675
185.2500	0.00035958
185.5000	0.00035563
185.7500	0.00035704
186.0000	0.00035798
186.2500	0.00035717
186.5000	0.00035819
186.7500	0.00035627
187.0000	0.00035717
187.2500	0.00035729
187.5000	0.00035874
187.7500	0.00035745
188.0000	0.00035569
188.2500	0.00035818
188.5000	0.00035727
188.7500	0.00035546
189.0000	0.00035802
189.2500	0.00035646
189.5000	0.00035820
189.7500	0.00035869
190.0000	0.00035558
190.2500	0.00035821
190.5000	0.00035777
190.7500	0.00035577
191.0000	0.00035581
191.2500	0.00035637
191.5000	0.00035529
191.7500	0.00035419
192.0000	0.00035750
192.2500	0.00035754
192.5000	0.00035425
192.7500	0.00035705
193.0000	0.00035635
193.2500	0.00035568
193.5000	0.00035666
193.7500	0.00035601
194.0000	0.00035790
194.2500	0.00035579
194.5000	0.00035635
194.7500	0.00035578
195.0000	0.00035767
195.2500	0.00035664
195.5000	0.00035461
195.7500	0.00035577
196.0000	0.00035625
196.2500	0.00035603
196.5000	0.00035574
196.7500	0.00035575
197.0000	0.00035666
197.2500	0.00035576
197.5000	0.00035489
197.7500	0.00035451
198.0000	0.00035488
198.2500	0.00035571
198.5000	0.00035630
198.7500	0.00035473
199.0000	0.00035491
199.2500	0.00035501
199.5000	0.00035642
199.7500	0.00035686
200.0000	0.00035487
200.2500	0.00035630
200.5000	0.00035384
200.7500	0.00035372
201.0000	0.00035520
201.2500	0.00035541
201.5000	0.00035556
201.7500	0.00035445
202.0000	0.00035595
202.2500	0.00035625
202.5000	0.00035404
202.7500	0.00035388
203.0000	0.00035662
203.2500	0.00035380
203.5000	0.00035563
203.7500	0.00035480
204.0000	0.00035531
204.2500	0.00035463
204.5000	0.00035518
204.7500	0.00035559
205.0000	0.00035315
205.2500	0.00035390
205.5000	0.00035442
205.7500	0.00035508
206.0000	0.00035484
206.2500	0.00035443
206.5000	0.00035353
206.7500	0.00035528
207.0000	0.00035592
207.2500	0.00035395
207.5000	0.00035338
207.7500	0.00035520
208.0000	0.00035342
208.2500	0.00035427
208.5000	0.00035444
208.7500	0.00035361
209.0000	0.00035555
209.2500	0.00035569
209.5000	0.00035367
209.7500	0.00035357
210.0000	0.00035369
210.2500	0.00035330
210.5000	0.00035458
210.7500	0.00035560
211.0000	0.00035494
211.2500	0.00035298
211.5000	0.00035418
211.7500	0.00035505
212.0000	0.00035378
212.2500	0.00035389
212.5000	0.00035553
212.7500	0.00035482
213.0000	0.00035367
213.2500	0.00035323
213.5000	0.00035257
213.7500	0.00035460
214.0000	0.00035434
214.2500	0.00035342
214.5000	0.00035398
214.7500	0.00035344
215.0000	0.00035453
215.2500	0.00035365
215.5000	0.00035309
215.7500	0.00035371
216.0000	0.00035401
216.2500	0.00035367
216.5000	0.00035286
216.7500	0.00035476
217.0000	0.00035415
217.2500	0.00035261
217.5000	0.00035275
217.7500	0.00035359
218.0000	0.00035406
218.2500	0.00035317
218.5000	0.00035294
218.7500	0.00035317
219.0000	0.00035314
219.2500	0.00035268
219.5000	0.00035310
