    °C	        No	    CH0	            CH1	            CH2	            CH3
24.140	89	0.1154171297	2684.0571274791	0.5096634930	-0.1665004591
24.164	90	0.1154271433	2681.6432286288	0.5096105641	-0.1665171484
24.181	91	0.1154339382	2679.2118060119	0.5095573967	-0.1665439705
24.201	92	0.1154420445	2676.7797575462	0.5095069712	-0.1665655474
24.217	93	0.1154484818	2674.3326887091	0.5094546383	-0.1665886740
24.234	94	0.1154555151	2671.8724770470	0.5094020670	-0.1666133503
24.249	95	0.1154619524	2669.4060068969	0.5093504494	-0.1666379074
24.275	96	0.1154724428	2666.9288973170	0.5092957323	-0.1666822533
24.288	97	0.1154779265	2664.4455292490	0.5092436379	-0.1667058567
24.307	98	0.1154855559	2661.9540251466	0.5091911858	-0.1667498450
24.332	99	0.1154955694	2659.4456231264	0.5091367071	-0.1667738060
24.346	100	0.1155015299	2656.9372211061	0.5090842550	-0.1668133835
24.365	101	0.1155093977	2654.4112953193	0.5090279883	-0.1668453316
24.383	102	0.1155165503	2651.8847436836	0.5089757746	-0.1669020752
24.406	103	0.1155260870	2649.3475526182	0.5089206999	-0.1669604878
24.435	104	0.1155380079	2646.8041030648	0.5088650291	-0.1669906477
24.459	105	0.1155476639	2644.2500140816	0.5088105505	-0.1670212845
24.471	106	0.1155527899	2641.6934217032	0.5087563103	-0.1670281987
24.493	107	0.1155617306	2639.1218089534	0.5087013548	-0.1670082907
24.516	108	0.1155712673	2636.5451894131	0.5086458033	-0.1670442919
24.534	109	0.1155784199	2633.9548011991	0.5085878675	-0.1670903067
24.558	110	0.1155880759	2631.3631612875	0.5085313623	-0.1671506266
24.580	111	0.1155971358	2628.7683921318	0.5084780758	-0.1671537261
24.597	112	0.1156042883	2626.1586026048	0.5084188288	-0.1671722035
24.623	113	0.1156148979	2623.5463096825	0.5083637541	-0.1672111849
24.643	114	0.1156232426	2620.9177446912	0.5083060568	-0.1672619681
24.660	115	0.1156301567	2618.2916830952	0.5082481210	-0.1672830681
24.685	116	0.1156400511	2615.6556079182	0.5081907814	-0.1673077445
24.713	117	0.1156514952	2613.0164034972	0.5081342762	-0.1673402886
24.732	118	0.1156594822	2610.3646821001	0.5080766981	-0.1673702101
24.754	119	0.1156683037	2607.7117090053	0.5080154245	-0.1673890452
24.772	120	0.1156759331	2605.0462189344	0.5079607074	-0.1674033503
24.791	121	0.1156836817	2602.3757220731	0.5079000299	-0.1673963170
24.815	122	0.1156933377	2599.6989667236	0.5078420942	-0.1674162249
24.834	123	0.1157013247	2597.0209596766	0.5077843969	-0.1674525838
24.866	124	0.1157141993	2594.3354424438	0.5077252691	-0.1674689154
24.886	125	0.1157224247	2591.6399116301	0.5076647107	-0.1674929957
24.909	126	0.1157319615	2588.9425032701	0.5076054637	-0.1675198178
24.927	127	0.1157394717	2586.2394622707	0.5075466935	-0.1675779919
24.950	128	0.1157488892	2583.5301627833	0.5074873273	-0.1676035027
24.979	129	0.1157606909	2580.8208632958	0.5074276034	-0.1676098208
24.990	130	0.1157648632	2578.1028019251	0.5073687141	-0.1676250796
25.011	131	0.1157734463	2575.3778562175	0.5073086326	-0.1676398616
25.035	132	0.1157834599	2572.6454003242	0.5072449748	-0.1676546435
25.066	133	0.1157963345	2569.9154478261	0.5071860854	-0.1676731210
25.091	134	0.1158063481	2567.1767334447	0.5071273152	-0.1676898103
25.114	135	0.1158156464	2564.4355156681	0.5070661609	-0.1677070956
25.146	136	0.1158287594	2561.6874135546	0.5070056025	-0.1677252154
25.166	137	0.1158369849	2558.9355563483	0.5069424216	-0.1677603822
25.189	138	0.1158465216	2556.1811957467	0.5068838898	-0.1677776675
25.207	139	0.1158537934	2553.4186991107	0.5068186824	-0.1677920918
25.228	140	0.1158624957	2550.6624609627	0.5067574088	-0.1678103309
25.254	141	0.1158731053	2547.8924541409	0.5066951815	-0.1678279738
25.279	142	0.1158832381	2545.1174405287	0.5066316430	-0.1678440671
25.298	143	0.1158909867	2542.3430527653	0.5065726344	-0.1678595643
25.325	144	0.1159019539	2539.5624065138	0.5065101687	-0.1678751807
25.350	145	0.1159122059	2536.7823861112	0.5064459149	-0.1678942542
25.366	146	0.1159187624	2533.9942296740	0.5063869063	-0.1679109435
25.387	147	0.1159274647	2531.2041956904	0.5063234869	-0.1679304938
25.415	148	0.1159389088	2528.4116583116	0.5062600676	-0.1679422955
25.445	149	0.1159510682	2525.6184950840	0.5061970059	-0.1679567199
25.469	150	0.1159610817	2522.8128148802	0.5061343018	-0.1679730515
25.491	151	0.1159700224	2520.0165224085	0.5060711209	-0.1679937940
25.520	152	0.1159818242	2517.2064612631	0.5060078207	-0.1680129867
25.539	153	0.1159895728	2514.4026586057	0.5059433285	-0.1680320601
25.563	154	0.1159994671	2511.5919716115	0.5058801476	-0.1680491071
25.588	155	0.1160097191	2508.7800329196	0.5058168474	-0.1680659156
25.616	156	0.1160211632	2505.9637132861	0.5057510439	-0.1680873733
25.643	157	0.1160322497	2503.1461419550	0.5056906048	-0.1681090694
25.664	158	0.1160407136	2500.3179311942	0.5056267086	-0.1681313615
25.693	159	0.1160528729	2497.4991081654	0.5055612627	-0.1681517463
25.723	160	0.1160649130	2494.6708974046	0.5054962936	-0.1681732040
25.744	161	0.1160737345	2491.8439383414	0.5054320398	-0.1682151656
25.764	162	0.1160816023	2489.0144758829	0.5053646866	-0.1682376962
25.793	163	0.1160935233	2486.1825100292	0.5053016249	-0.1682604652
25.812	164	0.1161015103	2483.3474149315	0.5052362982	-0.1682857375
25.841	165	0.1161130736	2480.5167007754	0.5051704946	-0.1683032613
25.860	166	0.1161209414	2477.6753471896	0.5051049295	-0.1683266263
25.887	167	0.1161321471	2474.8390003943	0.5050393644	-0.1683615546
25.915	168	0.1161435912	2471.9901366228	0.5049737993	-0.1683975559
25.942	169	0.1161545584	2469.1475313394	0.5049108568	-0.1684326034
25.968	170	0.1161652873	2466.3030485095	0.5048427883	-0.1684590678
25.991	171	0.1161747048	2463.4573139821	0.5047768655	-0.1684702735
26.017	172	0.1161850760	2460.6046951178	0.5047139230	-0.1684922080
26.046	173	0.1161972354	2457.7595864391	0.5046472850	-0.1685084205
26.076	174	0.1162092755	2454.9082192724	0.5045819583	-0.1685304742
26.095	175	0.1162172625	2452.0593555009	0.5045134130	-0.1685730319
26.122	176	0.1162281106	2449.2023556949	0.5044482055	-0.1686011653
26.142	177	0.1162363360	2446.3478592842	0.5043810907	-0.1686025958
26.171	178	0.1162483761	2443.4908594782	0.5043145719	-0.1686188083
26.199	179	0.1162597010	2440.6338596722	0.5042467418	-0.1686391931
26.224	180	0.1162698338	2437.7787374126	0.5041809383	-0.1686722141
26.250	181	0.1162808011	2434.9211117578	0.5041148963	-0.1686972480
26.278	182	0.1162918875	2432.0584793126	0.5040459933	-0.1687064271
26.307	183	0.1163039277	2429.1977244137	0.5039800706	-0.1687193017
26.327	184	0.1163121531	2426.3407246077	0.5039122405	-0.1687396865
26.355	185	0.1163235972	2423.4793438601	0.5038444104	-0.1687574487
26.387	186	0.1163365910	2420.6135821708	0.5037784877	-0.1687828403
26.416	187	0.1163486312	2417.7584599113	0.5037112536	-0.1687979799
26.441	188	0.1163588832	2414.8945757684	0.5036459269	-0.1688206296
26.470	189	0.1163705657	2412.0344467184	0.5035747590	-0.1689109903
26.492	190	0.1163795064	2409.1724401219	0.5035084786	-0.1691844564
26.519	191	0.1163908313	2406.3085559790	0.5034421982	-0.1691361767
26.547	192	0.1164019177	2403.4484269290	0.5033741297	-0.1690905195
26.578	193	0.1164147923	2400.5814135421	0.5033055844	-0.1690622669
26.608	194	0.1164271901	2397.7219103409	0.5032352509	-0.1690551143
26.632	195	0.1164368460	2394.8592778956	0.5031694474	-0.1690553528
26.651	196	0.1164445946	2391.9991488456	0.5031007828	-0.1690524917
26.677	197	0.1164554427	2389.1340130051	0.5030317606	-0.1690431934
26.703	198	0.1164660523	2386.2720064087	0.5029638113	-0.1690437894
26.738	199	0.1164802382	2383.4099998122	0.5028982462	-0.1690440279
26.765	200	0.1164914439	2380.5492449134	0.5028268399	-0.1690509420
26.794	201	0.1165031264	2377.6872383170	0.5027590098	-0.1690629821
26.824	202	0.1165154050	2374.8258575693	0.5026889147	-0.1690747839
26.849	203	0.1165257762	2371.9569666360	0.5026223959	-0.1690834861
26.876	204	0.1165368626	2369.1030960741	0.5025531353	-0.1690943342
26.906	205	0.1165489028	2366.2348309895	0.5024844708	-0.1691062551
26.934	206	0.1165603469	2363.3784570324	0.5024159254	-0.1691235405
26.960	207	0.1165708373	2360.5233347728	0.5023472609	-0.1691328388
26.986	208	0.1165818045	2357.6613281763	0.5022772850	-0.1691439253
27.006	209	0.1165899108	2354.8037025215	0.5022099317	-0.1691511970
27.046	210	0.1166060040	2351.9467027156	0.5021410288	-0.1691585880
27.067	211	0.1166147063	2349.0934580024	0.5020693840	-0.1691705089
27.091	212	0.1166246007	2346.2333289524	0.5020014347	-0.1691782575
27.125	213	0.1166383098	2343.3832134833	0.5019320549	-0.1691929203
27.156	214	0.1166511844	2340.5224585845	0.5018612446	-0.1692073446
27.184	215	0.1166625092	2337.6760982082	0.5017918647	-0.1692192655
27.205	216	0.1166710923	2334.8284861343	0.5017229618	-0.1692324978
27.234	217	0.1166830132	2331.9771189676	0.5016523899	-0.1692463260
27.262	218	0.1166945765	2329.1276293473	0.5015824140	-0.1692599159
27.291	219	0.1167062591	2326.2737587854	0.5015127958	-0.1692741018
27.316	220	0.1167165111	2323.4324051996	0.5014431775	-0.1692844730
27.341	221	0.1167268823	2320.5835414281	0.5013732017	-0.1693021160
27.377	222	0.1167414258	2317.7371810518	0.5013037027	-0.1693171364
27.399	223	0.1167507241	2314.8914465243	0.5012322963	-0.1693208319
27.429	224	0.1167628835	2312.0519704850	0.5011626781	-0.1693264347
27.449	225	0.1167709897	2309.2118685968	0.5010934175	-0.1693331104
27.482	226	0.1167843411	2306.3711408598	0.5010212958	-0.1693372827
27.514	227	0.1167974542	2303.5322906692	0.5009544194	-0.1693513494
27.538	228	0.1168074677	2300.6928146298	0.5008824170	-0.1693729263
27.566	229	0.1168186734	2297.8583453809	0.5008118451	-0.1693980795
27.593	230	0.1168297599	2295.0238761320	0.5007421077	-0.1694110733
27.620	231	0.1168407271	2292.1925361271	0.5006701053	-0.1694284778
27.648	232	0.1168525289	2289.3605702734	0.5005990565	-0.1694488626
27.672	233	0.1168621848	2286.5323595126	0.5005288422	-0.1694717508
27.701	234	0.1168741057	2283.7079038446	0.5004561246	-0.1694866520
27.728	235	0.1168849538	2280.8784413861	0.5003853142	-0.1695033413
27.757	236	0.1168971131	2278.0589925086	0.5003160536	-0.1695034605
27.787	237	0.1169093917	2275.2376660846	0.5002445281	-0.1695091825
27.812	238	0.1169195245	2272.4169655095	0.5001755059	-0.1695270639
27.848	239	0.1169343064	2269.5993941784	0.5001040995	-0.1695406538
27.876	240	0.1169457505	2266.7811969984	0.5000337660	-0.1695509058
27.905	241	0.1169573138	2263.9680066090	0.4999645054	-0.1695628267
27.943	242	0.1169729303	2261.1579454635	0.4998917878	-0.1695802313
27.964	243	0.1169813941	2258.3472584693	0.4998188317	-0.1696002584
27.997	244	0.1169952224	2255.5359456263	0.4997487366	-0.1696256500
28.022	245	0.1170051168	2252.7352722129	0.4996784031	-0.1696330410
28.047	246	0.1170153688	2249.9277144627	0.4996049702	-0.1696673733
28.077	247	0.1170276473	2247.1245376542	0.4995349943	-0.1696941954
28.100	248	0.1170373033	2244.3232383921	0.4994628727	-0.1697024208
28.124	249	0.1170471976	2241.5294493156	0.4993938505	-0.1697077852
28.155	250	0.1170594762	2238.7337826928	0.4993210136	-0.1697449785
28.182	251	0.1170705627	2235.9387419187	0.4992482960	-0.1697852713
28.215	252	0.1170840333	2233.1512113304	0.4991774857	-0.1698217493
28.242	253	0.1170953582	2230.3580481027	0.4991073906	-0.1698618036
28.263	254	0.1171039413	2227.5774018513	0.4990352690	-0.1698963743
28.288	255	0.1171141933	2224.7892454141	0.4989650547	-0.1699321371
28.319	256	0.1171267102	2222.0092250114	0.4988918602	-0.1699661118
28.341	257	0.1171357702	2219.2298304576	0.4988192617	-0.1699798208
28.377	258	0.1171503137	2216.4541909965	0.4987484514	-0.1699944836
28.403	259	0.1171611617	2213.6841841748	0.4986762106	-0.1700048548
28.433	260	0.1171733211	2210.9097964114	0.4986070692	-0.1700238091
28.463	261	0.1171857188	2208.1410412872	0.4985344707	-0.1700438362
28.494	262	0.1171982358	2205.3741637095	0.4984613954	-0.1700527769
28.520	263	0.1172090839	2202.6091636782	0.4983895122	-0.1700732809
28.549	264	0.1172206472	2199.8491704374	0.4983185827	-0.1701017720
28.579	265	0.1172330449	2197.0847962549	0.4982455074	-0.1701167923
28.609	266	0.1172450851	2194.3360682926	0.4981764852	-0.1701283556
28.634	267	0.1172553371	2191.5829593887	0.4981025754	-0.1701476675
28.665	268	0.1172682117	2188.8336055776	0.4980297385	-0.1701678139
28.689	269	0.1172779868	2186.0842517665	0.4979578553	-0.1701865298
28.725	270	0.1172928880	2183.3367755018	0.4978874026	-0.1702073914
28.755	271	0.1173051666	2180.6011903644	0.4978126584	-0.1702268225
28.787	272	0.1173179220	2177.8612242854	0.4977408944	-0.1702447039
28.814	273	0.1173292468	2175.1268908457	0.4976684152	-0.1702640158
28.841	274	0.1173402141	2172.3900540108	0.4975939094	-0.1702839238
28.870	275	0.1173521350	2169.6644824543	0.4975238143	-0.1702990633
28.904	276	0.1173658441	2166.9357816539	0.4974516927	-0.1703119379
28.927	277	0.1173752616	2164.2152168879	0.4973773061	-0.1703181368
28.960	278	0.1173887323	2161.4971555172	0.4973062573	-0.1703351838
28.982	279	0.1173977922	2158.7772166000	0.4972342549	-0.1703600985
29.013	280	0.1174104284	2156.0622844733	0.4971636830	-0.1703783375
29.045	281	0.1174236606	2153.3498557419	0.4970896540	-0.1703903777
29.063	282	0.1174309324	2150.6474405913	0.4970162211	-0.1703957421
29.100	283	0.1174460719	2147.9381411039	0.4969436226	-0.1704032523
29.128	284	0.1174575160	2145.2388551974	0.4968713818	-0.1704034907
29.161	285	0.1174711059	2142.5395692909	0.4967996178	-0.1704563004
29.189	286	0.1174821924	2139.8421609308	0.4967257081	-0.1704614264
29.220	287	0.1174949478	2137.1485076635	0.4966547785	-0.1704756123
29.241	288	0.1175036500	2134.4611128843	0.4965833722	-0.1705075604
29.268	289	0.1175148557	2131.7737181052	0.4965111313	-0.1705166203
29.298	290	0.1175268959	2129.0900784189	0.4964371023	-0.1705187661
29.326	291	0.1175383399	2126.4133230694	0.4963659344	-0.1705389124
29.353	292	0.1175495456	2123.7396969640	0.4962922630	-0.1705618006
29.390	293	0.1175645660	2121.0629416146	0.4962209759	-0.1705721718
29.412	294	0.1175735067	2118.3886896604	0.4961477814	-0.1705943448
29.437	295	0.1175837587	2115.7288322287	0.4960757790	-0.1705912453
29.469	296	0.1175968717	2113.0608387626	0.4960032997	-0.1705983979
29.498	297	0.1176086734	2110.4047364238	0.4959296284	-0.1706124646
29.532	298	0.1176226209	2107.7461306897	0.4958569107	-0.1706260544
29.556	299	0.1176321577	2105.0981643854	0.4957859812	-0.1706432206
29.588	300	0.1176456283	2102.4420620467	0.4957118330	-0.1706577641
29.623	301	0.1176596950	2099.8034834745	0.4956425724	-0.1706687314
29.650	302	0.1176706623	2097.1573947166	0.4955686626	-0.1706833941
29.681	303	0.1176835369	2094.5156869004	0.4954974947	-0.1707067591
29.704	304	0.1176927160	2091.8814892698	0.4954247770	-0.1707166535
29.731	305	0.1177039217	2089.2510467321	0.4953503904	-0.1707265479
29.756	306	0.1177142929	2086.6218558921	0.4952781496	-0.1707441909
29.783	307	0.1177252601	2083.9932909008	0.4952042398	-0.1707602841
29.811	308	0.1177367042	2081.3734877928	0.4951315221	-0.1707769734
29.836	309	0.1177468370	2078.7574397777	0.4950601158	-0.1707844836
29.873	310	0.1177618574	2076.1407659138	0.4949873981	-0.1707956893
29.899	311	0.1177727054	2073.5322280843	0.4949149188	-0.1708086831
29.929	312	0.1177848648	2070.9243161037	0.4948419627	-0.1708196503
29.960	313	0.1177973817	2068.3195333671	0.4947711524	-0.1708344323
29.983	314	0.1178069185	2065.7222608162	0.4946953353	-0.1708450419
30.016	315	0.1178202699	2063.1268658118	0.4946241674	-0.1708591086
30.045	316	0.1178321909	2060.5339742025	0.4945499000	-0.1708711488
30.073	317	0.1178435157	2057.9435859885	0.4944783744	-0.1708891494
30.099	318	0.1178541254	2055.3594562626	0.4944041070	-0.1709048850
30.130	319	0.1178668808	2052.7784557807	0.4943332967	-0.1709207398
30.153	320	0.1178762983	2050.2074688797	0.4942604598	-0.1709350449
30.185	321	0.1178895305	2047.6289717930	0.4941883382	-0.1709501845
30.225	322	0.1179056238	2045.0598624384	0.4941164550	-0.1709635360
30.256	323	0.1179183792	2042.4932564791	0.4940426644	-0.1709747416
30.279	324	0.1179276775	2039.9360382519	0.4939705428	-0.1709946496
30.306	325	0.1179387640	2037.3744390830	0.4938947257	-0.1710111005
30.334	326	0.1179504465	2034.8178467046	0.4938260611	-0.1710281474
30.360	327	0.1179606985	2032.2675128143	0.4937517937	-0.1710422141
30.396	328	0.1179757189	2029.7209340168	0.4936796721	-0.1710504395
30.422	329	0.1179862093	2027.1793620097	0.4936088618	-0.1710691554
30.453	330	0.1179990839	2024.6421709443	0.4935347136	-0.1710814340
30.481	331	0.1180101703	2022.1068574254	0.4934630688	-0.1710893018
30.515	332	0.1180241178	2019.5778023945	0.4933907088	-0.1711031300
30.532	333	0.1180311512	2017.0499990612	0.4933197792	-0.1711117131
30.566	334	0.1180452179	2014.5184406351	0.4932471808	-0.1711216075
30.595	335	0.1180567812	2012.0081610684	0.4931742247	-0.1711281640
30.622	336	0.1180678676	2009.4891196185	0.4930992420	-0.1711348397
30.651	337	0.1180797886	2006.9763366566	0.4930279549	-0.1711648805
30.671	338	0.1180880140	2004.4735672756	0.4929549988	-0.1711704833
30.703	339	0.1181011270	2001.9701720458	0.4928834732	-0.1711790664
30.732	340	0.1181128095	1999.4648992696	0.4928129013	-0.1711955173
30.767	341	0.1181271147	1996.9733951672	0.4927403028	-0.1711996896
30.794	342	0.1181380819	1994.4737550303	0.4926662739	-0.1712018353
30.830	343	0.1181531023	1991.9872577183	0.4925958212	-0.1712089879
30.849	344	0.1181604933	1989.5057671968	0.4925214346	-0.1712166173
30.876	345	0.1181718181	1987.0267800705	0.4924496706	-0.1712248427
30.907	346	0.1181844543	1984.5477929442	0.4923761184	-0.1712344987
30.933	347	0.1181951832	1982.0744384572	0.4923042352	-0.1712404592
30.962	348	0.1182067465	1979.6004581213	0.4922330673	-0.1712465388
30.995	349	0.1182202171	1977.1364913664	0.4921613033	-0.1712540490
31.024	350	0.1182321381	1974.6794089484	0.4920873935	-0.1712610824
31.042	351	0.1182394098	1972.2191972863	0.4920177753	-0.1712713344
31.076	352	0.1182533573	1969.7627407171	0.4919431503	-0.1712763412
31.102	353	0.1182638477	1967.3213045193	0.4918707902	-0.1712842090
31.130	354	0.1182756494	1964.8692288917	0.4917981918	-0.1712918384
31.159	355	0.1182872127	1962.4284185426	0.4917265470	-0.1713014943
31.184	356	0.1182974647	1959.9869823448	0.4916533525	-0.1713096006
31.217	357	0.1183110546	1957.5555597279	0.4915820653	-0.1713204486
31.243	358	0.1183217834	1955.1253888086	0.4915097053	-0.1713279588
31.272	359	0.1183333467	1952.7027280750	0.4914363916	-0.1713366611
31.303	360	0.1183462213	1950.2781897949	0.4913645084	-0.1713472707
31.336	361	0.1183598112	1947.8586583053	0.4912927444	-0.1713575227
31.366	362	0.1183717321	1945.4453853038	0.4912199075	-0.1713712318
31.398	363	0.1183849644	1943.0333639999	0.4911476666	-0.1713894708
31.423	364	0.1183950972	1940.6288528817	0.4910759026	-0.1714034183
31.451	365	0.1184066605	1938.2268451587	0.4910048539	-0.1714094979
31.479	366	0.1184178661	1935.8304700750	0.4909333283	-0.1714189155
31.506	367	0.1184290718	1933.4353466889	0.4908607299	-0.1714217765
31.538	368	0.1184419464	1931.0477334885	0.4907877738	-0.1714347703
31.563	369	0.1184521984	1928.6569910441	0.4907166058	-0.1714513404
31.592	370	0.1184642386	1926.2781397270	0.4906444842	-0.1714640958
31.615	371	0.1184736561	1923.8961591659	0.4905731970	-0.1714665992
31.641	372	0.1184841465	1921.5248180345	0.4905021483	-0.1714996202
31.676	373	0.1184983324	1919.1566061471	0.4904287154	-0.1715322835
31.694	374	0.1185057234	1916.7896459573	0.4903555209	-0.1715467078
31.723	375	0.1185177635	1914.4264408604	0.4902842337	-0.1715597017
31.758	376	0.1185320686	1912.0707459492	0.4902136618	-0.1715723378
31.787	377	0.1185438704	1909.7144251892	0.4901387984	-0.1715831859
31.816	378	0.1185555529	1907.3662404636	0.4900667959	-0.1716035707
31.848	379	0.1185686659	1905.0180557381	0.4899959856	-0.1716163261
31.876	380	0.1185803484	1902.6773811983	0.4899255329	-0.1716250283
31.907	381	0.1185927462	1900.3379583560	0.4898532921	-0.1716332538
31.934	382	0.1186039518	1898.0079232459	0.4897814089	-0.1716414792
31.955	383	0.1186124157	1895.6741330429	0.4897077375	-0.1716616256
31.984	384	0.1186243366	1893.3484788745	0.4896384769	-0.1716742618
32.009	385	0.1186343502	1891.0272056477	0.4895643288	-0.1716857059
32.033	386	0.1186442446	1888.7115650601	0.4894929224	-0.1717174156
