pi/theta,U,I
4,850,0.243
4,850,0.244
4,850,0.25
4,850,0.228
4,850,0.234
4,850,0.239
4,950,0.265
4,950,0.25
4,950,0.251
4,950,0.25
4,950,0.248
4,950,0.242
2,850,0.48
2,850,0.492
2,850,0.481
2,850,0.496
2,850,0.49
2,850,0.496
2,950,0.512
2,950,0.522
2,950,0.515
2,950,0.52
2,950,0.516
2,950,0.514
1,850,0.926
1,850,0.921
1,850,0.93
1,850,0.924
1,850,0.923
1,850,0.934
1,950,0.987
1,950,0.975
1,950,0.978
1,950,0.981
1,950,0.98
1,950,0.986
